Puzzle,Category,Time(millis),Date(millis),Scramble,Penalty,Comment
"333","cfop","20040","1542375412682","D' L2 D U2 F2 L2 B2 F2 L U F' R2 D' U R' U' R B R2","0",""
"333","cfop","13400","1542873719756","D2 F2 D2 F2 U' L2 D' R2 B2 U' L B U' R' F2 D' U2 B' D2 U'","0",""
"333","cfop","16920","1542873840700","F2 B' L F U' L D F2 R B U L2 F2 U' L2 F2 D L2 U2 B2 D2","0",""
"333","cfop","14550","1542873946559","R B2 D2 L B2 R D2 L' D2 R2 B' L' U' B2 D' U F2 D' B2","0",""
"333","cfop","18170","1542874092555","R2 B' L2 B2 U2 L2 B2 R2 F' D2 R F L R' D F' D B D","0",""
"333","cfop","18370","1542874234284","R2 D2 L2 D B2 D' B2 U' R2 F2 D' B D' L2 R' F L U' F'","0",""
"333","cfop","16000","1542874319580","R' B2 U2 L B' L U2 L' F' R2 F2 R B2 D2 F2 R2 B2 L","0",""
"333","cfop","18370","1543730918480","R' D2 U2 R F2 L' D2 L R F2 R2 D' U L F' R2 F' L2 U2 R2","0",""
"333","cfop","17500","1543730993349","F2 R2 F2 L2 U2 R2 F2 U L2 D' L2 R' U' R U L' B F2 L2 D F'","0",""
"333","cfop","19430","1543731052774","B2 U2 B U2 F D2 B' F' D2 L' D U F2 U2 R B2 F'","0",""
"333","cfop","18880","1543731104170","D' U' F2 L2 U2 F2 R2 F2 D' R F' D' U B2 F' R' B2 L' D'","0",""
"333","cfop","17800","1543731145743","R2 U B2 D R2 B2 U' B2 F2 D2 L2 R' D2 F R' U B L2 U R' B","0",""
"333","cfop","18030","1543731192494","D2 F2 R2 B2 R2 F' D2 B' F2 R' U' L' R2 U' B2 R' U2 B D F","0",""
"333","cfop","15040","1543731244248","D2 R D F' L2 U R' D2 R' D' F2 R2 B2 R L2 D2 F2 D2 B2","0",""
"333","cfop","20190","1543731327191","L2 D2 B2 U' R2 U2 F2 L2 F2 L2 U B' R' F2 D B D2 L' R2 F' R2","0",""
"333","cfop","22890","1543731415541","D2 R2 U' F2 R2 U R2 D' L2 R2 D F' L' B F' D' U' F2 D' F'","0",""
"333","cfop","19560","1543731458297","L R B2 D2 F2 D2 L' D2 F2 U R B R D' B' L' U2 F2 D' B2","0",""
"333","cfop","21810","1543731547215","R2 F2 L2 D F2 D' F2 U' R2 D2 L F L2 B' F D' R2 B' F'","0",""
"333","cfop","16930","1543731611587","U2 L2 B' U2 B' L2 D2 B' L2 B R F' U' L D2 F2 R2 F' D2 B2","0",""
"333","cfop","18560","1543731662600","B R' D B U' R U' D2 L' U L2 B D2 B' U2 F U2 B' D2 B","0",""
"333","cfop","16100","1543731884871","F2 R2 D2 F2 U' F2 L2 B2 U' R2 B' L D2 L' F' U2 R' F2 L2","0",""
"333","cfop","19000","1543732179956","U L2 D2 U R2 D B2 D2 B L F L' U' R U L' F U' F","0",""
"333","cfop","17460","1543732314497","F' R2 D' L F2 B2 L' B D' L F R2 F' D2 F' B2 D2 F2 D2 R2 U2","0",""
"333","cfop","18310","1543732390085","R2 B2 F2 D L2 U2 B2 U B L U B L2 D R2 B F2 L R","0",""
"333","cfop","17400","1543732439193","D2 U2 L' D2 R2 F2 R2 B2 U2 L' D B' F2 L' D2 U2 L B' U' B2","0",""
"333","cfop","15840","1543732491650","R F2 B2 U2 D B L' B2 D2 L F2 D' F2 U' F2 R2 D' L2 U","0",""
"333","cfop","18620","1543732536816","F D2 R2 B L2 B U2 L2 F U L2 F' D L' B F L' F R U'","0",""
"333","cfop","19820","1543732602690","U F2 U R2 U R2 F2 R2 D L F' U R' F' D B' L' B D2 B","0",""
"333","cfop","18030","1543732683377","B L2 B2 R2 F' R2 U2 B' D2 L B2 D F R F R' U2 F2 R2","0",""
